date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2022-03-24,MT,Barra do Garças,city,13915,401,599,True,61012,61135,5101803,22761.10248,0.0288
2022-03-23,MT,Barra do Garças,city,13915,401,598,False,61012,61135,5101803,22761.10248,0.0288
2022-03-22,MT,Barra do Garças,city,13914,401,597,False,61012,61135,5101803,22759.46675,0.0288
2022-03-21,MT,Barra do Garças,city,13910,401,596,False,61012,61135,5101803,22752.92386,0.0288
2022-03-20,MT,Barra do Garças,city,13908,401,595,False,61012,61135,5101803,22749.65241,0.0288
2022-03-19,MT,Barra do Garças,city,13907,401,594,False,61012,61135,5101803,22748.01668,0.0288
2022-03-18,MT,Barra do Garças,city,13907,401,593,False,61012,61135,5101803,22748.01668,0.0288
2022-03-17,MT,Barra do Garças,city,13907,401,592,False,61012,61135,5101803,22748.01668,0.0288
2022-03-16,MT,Barra do Garças,city,13904,401,591,False,61012,61135,5101803,22743.10951,0.0288
2022-03-15,MT,Barra do Garças,city,13903,401,590,False,61012,61135,5101803,22741.47379,0.0288
2022-03-14,MT,Barra do Garças,city,13901,401,589,False,61012,61135,5101803,22738.20234,0.0288
2022-03-13,MT,Barra do Garças,city,13893,400,588,False,61012,61135,5101803,22725.11655,0.0288
2022-03-12,MT,Barra do Garças,city,13893,400,587,False,61012,61135,5101803,22725.11655,0.0288
2022-03-11,MT,Barra do Garças,city,13893,400,586,False,61012,61135,5101803,22725.11655,0.0288
2022-03-10,MT,Barra do Garças,city,13882,400,585,False,61012,61135,5101803,22707.12358,0.0288
2022-03-09,MT,Barra do Garças,city,13878,400,584,False,61012,61135,5101803,22700.58068,0.0288
2022-03-08,MT,Barra do Garças,city,13876,400,583,False,61012,61135,5101803,22697.30923,0.0288
2022-03-07,MT,Barra do Garças,city,13866,400,582,False,61012,61135,5101803,22680.95199,0.0288
2022-03-06,MT,Barra do Garças,city,13835,400,581,False,61012,61135,5101803,22630.24454,0.0289
2022-03-05,MT,Barra do Garças,city,13835,400,580,False,61012,61135,5101803,22630.24454,0.0289
2022-03-04,MT,Barra do Garças,city,13834,400,579,False,61012,61135,5101803,22628.60882,0.0289
2022-03-03,MT,Barra do Garças,city,13826,400,578,False,61012,61135,5101803,22615.52302,0.0289
2022-03-02,MT,Barra do Garças,city,13713,400,577,False,61012,61135,5101803,22430.68619,0.0292
2022-03-01,MT,Barra do Garças,city,13662,400,576,False,61012,61135,5101803,22347.26425,0.0293
2022-02-28,MT,Barra do Garças,city,13662,400,575,False,61012,61135,5101803,22347.26425,0.0293
2022-02-27,MT,Barra do Garças,city,13663,399,574,False,61012,61135,5101803,22348.89998,0.0292
2022-02-26,MT,Barra do Garças,city,13663,399,573,False,61012,61135,5101803,22348.89998,0.0292
2022-02-25,MT,Barra do Garças,city,13662,399,572,False,61012,61135,5101803,22347.26425,0.0292
2022-02-24,MT,Barra do Garças,city,13612,399,571,False,61012,61135,5101803,22265.47804,0.0293
2022-02-23,MT,Barra do Garças,city,13560,399,570,False,61012,61135,5101803,22180.42038,0.0294
2022-02-22,MT,Barra do Garças,city,13509,399,569,False,61012,61135,5101803,22096.99845,0.0295
2022-02-20,MT,Barra do Garças,city,13403,396,568,False,61012,61135,5101803,21923.61168,0.0295
2022-02-19,MT,Barra do Garças,city,13403,396,567,False,61012,61135,5101803,21923.61168,0.0295
2022-02-18,MT,Barra do Garças,city,13403,396,566,False,61012,61135,5101803,21923.61168,0.0295
2022-02-17,MT,Barra do Garças,city,13356,396,565,False,61012,61135,5101803,21846.73264,0.0296
2022-02-16,MT,Barra do Garças,city,13281,396,564,False,61012,61135,5101803,21724.05332,0.0298
2022-02-15,MT,Barra do Garças,city,13249,396,563,False,61012,61135,5101803,21671.71015,0.0299
2022-02-14,MT,Barra do Garças,city,13157,396,562,False,61012,61135,5101803,21521.22352,0.0301
2022-02-13,MT,Barra do Garças,city,13009,396,561,False,61012,61135,5101803,21279.13634,0.0304
2022-02-12,MT,Barra do Garças,city,13008,396,560,False,61012,61135,5101803,21277.50061,0.0304
2022-02-11,MT,Barra do Garças,city,13008,396,559,False,61012,61135,5101803,21277.50061,0.0304
2022-02-10,MT,Barra do Garças,city,12921,395,558,False,61012,61135,5101803,21135.19261,0.0306
2022-02-09,MT,Barra do Garças,city,12838,395,557,False,61012,61135,5101803,20999.42750,0.0308
2022-02-08,MT,Barra do Garças,city,12752,395,556,False,61012,61135,5101803,20858.75521,0.0310
2022-02-07,MT,Barra do Garças,city,12577,395,555,False,61012,61135,5101803,20572.50348,0.0314
2022-02-06,MT,Barra do Garças,city,12470,395,554,False,61012,61135,5101803,20397.48098,0.0317
2022-02-05,MT,Barra do Garças,city,12470,394,553,False,61012,61135,5101803,20397.48098,0.0316
2022-02-04,MT,Barra do Garças,city,12465,394,552,False,61012,61135,5101803,20389.30236,0.0316
2022-02-03,MT,Barra do Garças,city,12298,392,551,False,61012,61135,5101803,20116.13642,0.0319
2022-02-02,MT,Barra do Garças,city,12162,392,550,False,61012,61135,5101803,19893.67793,0.0322
2022-02-01,MT,Barra do Garças,city,12014,392,549,False,61012,61135,5101803,19651.59074,0.0326
2022-01-31,MT,Barra do Garças,city,11881,392,548,False,61012,61135,5101803,19434.03942,0.0330
2022-01-30,MT,Barra do Garças,city,11769,391,547,False,61012,61135,5101803,19250.83831,0.0332
2022-01-29,MT,Barra do Garças,city,11769,391,546,False,61012,61135,5101803,19250.83831,0.0332
2022-01-28,MT,Barra do Garças,city,11767,390,545,False,61012,61135,5101803,19247.56686,0.0331
2022-01-27,MT,Barra do Garças,city,11674,390,544,False,61012,61135,5101803,19095.44451,0.0334
2022-01-26,MT,Barra do Garças,city,11548,389,543,False,61012,61135,5101803,18889.34326,0.0337
2022-01-25,MT,Barra do Garças,city,11402,388,542,False,61012,61135,5101803,18650.52752,0.0340
2022-01-24,MT,Barra do Garças,city,11341,388,541,False,61012,61135,5101803,18550.74834,0.0342
2022-01-23,MT,Barra do Garças,city,11243,386,540,False,61012,61135,5101803,18390.44737,0.0343
2022-01-22,MT,Barra do Garças,city,11243,386,539,False,61012,61135,5101803,18390.44737,0.0343
2022-01-21,MT,Barra do Garças,city,11243,386,538,False,61012,61135,5101803,18390.44737,0.0343
2022-01-20,MT,Barra do Garças,city,11187,385,537,False,61012,61135,5101803,18298.84681,0.0344
2022-01-19,MT,Barra do Garças,city,11148,385,536,False,61012,61135,5101803,18235.05357,0.0345
2022-01-18,MT,Barra do Garças,city,11086,385,535,False,61012,61135,5101803,18133.63867,0.0347
2022-01-17,MT,Barra do Garças,city,11016,385,534,False,61012,61135,5101803,18019.13797,0.0349
2022-01-16,MT,Barra do Garças,city,10958,384,533,False,61012,61135,5101803,17924.26597,0.0350
2022-01-15,MT,Barra do Garças,city,10958,384,532,False,61012,61135,5101803,17924.26597,0.0350
2022-01-14,MT,Barra do Garças,city,10957,384,531,False,61012,61135,5101803,17922.63024,0.0350
2022-01-13,MT,Barra do Garças,city,10917,384,530,False,61012,61135,5101803,17857.20128,0.0352
2022-01-12,MT,Barra do Garças,city,10866,384,529,False,61012,61135,5101803,17773.77934,0.0353
2022-01-11,MT,Barra do Garças,city,10826,384,528,False,61012,61135,5101803,17708.35037,0.0355
2022-01-10,MT,Barra do Garças,city,10783,384,527,False,61012,61135,5101803,17638.01423,0.0356
2022-01-09,MT,Barra do Garças,city,10720,384,526,False,61012,61135,5101803,17534.96361,0.0358
2022-01-08,MT,Barra do Garças,city,10720,384,525,False,61012,61135,5101803,17534.96361,0.0358
2022-01-07,MT,Barra do Garças,city,10719,384,524,False,61012,61135,5101803,17533.32788,0.0358
2022-01-06,MT,Barra do Garças,city,10691,384,523,False,61012,61135,5101803,17487.52760,0.0359
2022-01-05,MT,Barra do Garças,city,10669,384,522,False,61012,61135,5101803,17451.54167,0.0360
2022-01-04,MT,Barra do Garças,city,10650,384,521,False,61012,61135,5101803,17420.46291,0.0361
2022-01-03,MT,Barra do Garças,city,10643,384,520,False,61012,61135,5101803,17409.01284,0.0361
2022-01-02,MT,Barra do Garças,city,10631,384,519,False,61012,61135,5101803,17389.38415,0.0361
2022-01-01,MT,Barra do Garças,city,10630,384,518,False,61012,61135,5101803,17387.74843,0.0361
2021-12-31,MT,Barra do Garças,city,10630,384,517,False,61012,61135,5101803,17387.74843,0.0361
2021-12-30,MT,Barra do Garças,city,10630,384,516,False,61012,61135,5101803,17387.74843,0.0361
2021-12-29,MT,Barra do Garças,city,10629,384,515,False,61012,61135,5101803,17386.11270,0.0361
2021-12-28,MT,Barra do Garças,city,10628,384,514,False,61012,61135,5101803,17384.47698,0.0361
2021-12-27,MT,Barra do Garças,city,10628,384,513,False,61012,61135,5101803,17384.47698,0.0361
2021-12-26,MT,Barra do Garças,city,10628,384,512,False,61012,61135,5101803,17384.47698,0.0361
2021-12-25,MT,Barra do Garças,city,10628,383,511,False,61012,61135,5101803,17384.47698,0.0360
2021-12-24,MT,Barra do Garças,city,10628,383,510,False,61012,61135,5101803,17384.47698,0.0360
2021-12-23,MT,Barra do Garças,city,10628,383,509,False,61012,61135,5101803,17384.47698,0.0360
2021-12-22,MT,Barra do Garças,city,10624,383,508,False,61012,61135,5101803,17377.93408,0.0361
2021-12-21,MT,Barra do Garças,city,10622,383,507,False,61012,61135,5101803,17374.66263,0.0361
2021-12-20,MT,Barra do Garças,city,10622,383,506,False,61012,61135,5101803,17374.66263,0.0361
2021-12-19,MT,Barra do Garças,city,10622,383,505,False,61012,61135,5101803,17374.66263,0.0361
2021-12-18,MT,Barra do Garças,city,10622,383,504,False,61012,61135,5101803,17374.66263,0.0361
2021-12-17,MT,Barra do Garças,city,10622,383,503,False,61012,61135,5101803,17374.66263,0.0361
2021-12-16,MT,Barra do Garças,city,10622,383,502,False,61012,61135,5101803,17374.66263,0.0361
2021-12-15,MT,Barra do Garças,city,10622,383,501,False,61012,61135,5101803,17374.66263,0.0361
2021-12-14,MT,Barra do Garças,city,10621,383,500,False,61012,61135,5101803,17373.02691,0.0361
2021-12-13,MT,Barra do Garças,city,10620,383,499,False,61012,61135,5101803,17371.39118,0.0361
2021-12-12,MT,Barra do Garças,city,10620,383,498,False,61012,61135,5101803,17371.39118,0.0361
2021-12-11,MT,Barra do Garças,city,10620,383,497,False,61012,61135,5101803,17371.39118,0.0361
2021-12-10,MT,Barra do Garças,city,10620,383,496,False,61012,61135,5101803,17371.39118,0.0361
2021-12-09,MT,Barra do Garças,city,10620,383,495,False,61012,61135,5101803,17371.39118,0.0361
2021-12-08,MT,Barra do Garças,city,10620,383,494,False,61012,61135,5101803,17371.39118,0.0361
2021-12-07,MT,Barra do Garças,city,10620,383,493,False,61012,61135,5101803,17371.39118,0.0361
2021-12-06,MT,Barra do Garças,city,10619,383,492,False,61012,61135,5101803,17369.75546,0.0361
2021-12-05,MT,Barra do Garças,city,10618,383,491,False,61012,61135,5101803,17368.11974,0.0361
2021-12-04,MT,Barra do Garças,city,10618,383,490,False,61012,61135,5101803,17368.11974,0.0361
2021-12-03,MT,Barra do Garças,city,10618,383,489,False,61012,61135,5101803,17368.11974,0.0361
2021-12-02,MT,Barra do Garças,city,10618,383,488,False,61012,61135,5101803,17368.11974,0.0361
2021-12-01,MT,Barra do Garças,city,10617,383,487,False,61012,61135,5101803,17366.48401,0.0361
2021-11-30,MT,Barra do Garças,city,10612,383,486,False,61012,61135,5101803,17358.30539,0.0361
2021-11-29,MT,Barra do Garças,city,10612,383,485,False,61012,61135,5101803,17358.30539,0.0361
2021-11-28,MT,Barra do Garças,city,10611,383,484,False,61012,61135,5101803,17356.66967,0.0361
2021-11-27,MT,Barra do Garças,city,10611,383,483,False,61012,61135,5101803,17356.66967,0.0361
2021-11-26,MT,Barra do Garças,city,10611,383,482,False,61012,61135,5101803,17356.66967,0.0361
2021-11-25,MT,Barra do Garças,city,10611,383,481,False,61012,61135,5101803,17356.66967,0.0361
2021-11-24,MT,Barra do Garças,city,10610,383,480,False,61012,61135,5101803,17355.03394,0.0361
2021-11-23,MT,Barra do Garças,city,10610,383,479,False,61012,61135,5101803,17355.03394,0.0361
2021-11-21,MT,Barra do Garças,city,10605,383,478,False,61012,61135,5101803,17346.85532,0.0361
2021-11-20,MT,Barra do Garças,city,10605,383,477,False,61012,61135,5101803,17346.85532,0.0361
2021-11-19,MT,Barra do Garças,city,10605,383,476,False,61012,61135,5101803,17346.85532,0.0361
2021-11-18,MT,Barra do Garças,city,10600,383,475,False,61012,61135,5101803,17338.67670,0.0361
2021-11-17,MT,Barra do Garças,city,10596,383,474,False,61012,61135,5101803,17332.13380,0.0361
2021-11-16,MT,Barra do Garças,city,10596,383,473,False,61012,61135,5101803,17332.13380,0.0361
2021-11-15,MT,Barra do Garças,city,10595,383,472,False,61012,61135,5101803,17330.49808,0.0361
2021-11-14,MT,Barra do Garças,city,10595,383,471,False,61012,61135,5101803,17330.49808,0.0361
2021-11-13,MT,Barra do Garças,city,10595,383,470,False,61012,61135,5101803,17330.49808,0.0361
2021-11-12,MT,Barra do Garças,city,10595,382,469,False,61012,61135,5101803,17330.49808,0.0361
2021-11-11,MT,Barra do Garças,city,10595,382,468,False,61012,61135,5101803,17330.49808,0.0361
2021-11-10,MT,Barra do Garças,city,10595,382,467,False,61012,61135,5101803,17330.49808,0.0361
2021-11-09,MT,Barra do Garças,city,10595,382,466,False,61012,61135,5101803,17330.49808,0.0361
2021-11-08,MT,Barra do Garças,city,10595,382,465,False,61012,61135,5101803,17330.49808,0.0361
2021-11-07,MT,Barra do Garças,city,10595,382,464,False,61012,61135,5101803,17330.49808,0.0361
2021-11-06,MT,Barra do Garças,city,10595,382,463,False,61012,61135,5101803,17330.49808,0.0361
2021-11-05,MT,Barra do Garças,city,10595,382,462,False,61012,61135,5101803,17330.49808,0.0361
2021-11-04,MT,Barra do Garças,city,10595,382,461,False,61012,61135,5101803,17330.49808,0.0361
2021-11-03,MT,Barra do Garças,city,10594,382,460,False,61012,61135,5101803,17328.86235,0.0361
2021-11-02,MT,Barra do Garças,city,10588,382,459,False,61012,61135,5101803,17319.04801,0.0361
2021-11-01,MT,Barra do Garças,city,10588,382,458,False,61012,61135,5101803,17319.04801,0.0361
2021-10-31,MT,Barra do Garças,city,10588,382,457,False,61012,61135,5101803,17319.04801,0.0361
2021-10-30,MT,Barra do Garças,city,10588,382,456,False,61012,61135,5101803,17319.04801,0.0361
2021-10-29,MT,Barra do Garças,city,10588,382,455,False,61012,61135,5101803,17319.04801,0.0361
2021-10-28,MT,Barra do Garças,city,10588,382,454,False,61012,61135,5101803,17319.04801,0.0361
2021-10-27,MT,Barra do Garças,city,10587,382,453,False,61012,61135,5101803,17317.41228,0.0361
2021-10-26,MT,Barra do Garças,city,10587,382,452,False,61012,61135,5101803,17317.41228,0.0361
2021-10-25,MT,Barra do Garças,city,10586,382,451,False,61012,61135,5101803,17315.77656,0.0361
2021-10-24,MT,Barra do Garças,city,10582,382,450,False,61012,61135,5101803,17309.23366,0.0361
2021-10-23,MT,Barra do Garças,city,10581,382,449,False,61012,61135,5101803,17307.59794,0.0361
2021-10-22,MT,Barra do Garças,city,10581,382,448,False,61012,61135,5101803,17307.59794,0.0361
2021-10-21,MT,Barra do Garças,city,10580,382,447,False,61012,61135,5101803,17305.96221,0.0361
2021-10-20,MT,Barra do Garças,city,10579,382,446,False,61012,61135,5101803,17304.32649,0.0361
2021-10-19,MT,Barra do Garças,city,10579,382,445,False,61012,61135,5101803,17304.32649,0.0361
2021-10-18,MT,Barra do Garças,city,10578,382,444,False,61012,61135,5101803,17302.69077,0.0361
2021-10-17,MT,Barra do Garças,city,10576,382,443,False,61012,61135,5101803,17299.41932,0.0361
2021-10-16,MT,Barra do Garças,city,10576,382,442,False,61012,61135,5101803,17299.41932,0.0361
2021-10-15,MT,Barra do Garças,city,10575,382,441,False,61012,61135,5101803,17297.78359,0.0361
2021-10-14,MT,Barra do Garças,city,10574,382,440,False,61012,61135,5101803,17296.14787,0.0361
2021-10-13,MT,Barra do Garças,city,10574,382,439,False,61012,61135,5101803,17296.14787,0.0361
2021-10-12,MT,Barra do Garças,city,10573,382,438,False,61012,61135,5101803,17294.51215,0.0361
2021-10-11,MT,Barra do Garças,city,10573,382,437,False,61012,61135,5101803,17294.51215,0.0361
2021-10-10,MT,Barra do Garças,city,10573,382,436,False,61012,61135,5101803,17294.51215,0.0361
2021-10-09,MT,Barra do Garças,city,10573,381,435,False,61012,61135,5101803,17294.51215,0.0360
2021-10-08,MT,Barra do Garças,city,10573,381,434,False,61012,61135,5101803,17294.51215,0.0360
2021-10-07,MT,Barra do Garças,city,10571,381,433,False,61012,61135,5101803,17291.24070,0.0360
2021-10-06,MT,Barra do Garças,city,10570,381,432,False,61012,61135,5101803,17289.60497,0.0360
2021-10-05,MT,Barra do Garças,city,10569,381,431,False,61012,61135,5101803,17287.96925,0.0360
2021-10-04,MT,Barra do Garças,city,10567,381,430,False,61012,61135,5101803,17284.69780,0.0361
2021-10-03,MT,Barra do Garças,city,10564,381,429,False,61012,61135,5101803,17279.79063,0.0361
2021-10-02,MT,Barra do Garças,city,10564,381,428,False,61012,61135,5101803,17279.79063,0.0361
2021-10-01,MT,Barra do Garças,city,10564,381,427,False,61012,61135,5101803,17279.79063,0.0361
2021-09-30,MT,Barra do Garças,city,10563,381,426,False,61012,61135,5101803,17278.15490,0.0361
2021-09-29,MT,Barra do Garças,city,10561,381,425,False,61012,61135,5101803,17274.88345,0.0361
2021-09-28,MT,Barra do Garças,city,10561,381,424,False,61012,61135,5101803,17274.88345,0.0361
2021-09-27,MT,Barra do Garças,city,10560,380,423,False,61012,61135,5101803,17273.24773,0.0360
2021-09-26,MT,Barra do Garças,city,10552,380,422,False,61012,61135,5101803,17260.16194,0.0360
2021-09-25,MT,Barra do Garças,city,10552,380,421,False,61012,61135,5101803,17260.16194,0.0360
2021-09-24,MT,Barra do Garças,city,10552,380,420,False,61012,61135,5101803,17260.16194,0.0360
2021-09-23,MT,Barra do Garças,city,10550,380,419,False,61012,61135,5101803,17256.89049,0.0360
2021-09-22,MT,Barra do Garças,city,10549,380,418,False,61012,61135,5101803,17255.25476,0.0360
2021-09-21,MT,Barra do Garças,city,10545,380,417,False,61012,61135,5101803,17248.71187,0.0360
2021-09-20,MT,Barra do Garças,city,10544,380,416,False,61012,61135,5101803,17247.07614,0.0360
2021-09-19,MT,Barra do Garças,city,10539,380,415,False,61012,61135,5101803,17238.89752,0.0361
2021-09-18,MT,Barra do Garças,city,10538,380,414,False,61012,61135,5101803,17237.26180,0.0361
2021-09-17,MT,Barra do Garças,city,10537,380,413,False,61012,61135,5101803,17235.62607,0.0361
2021-09-16,MT,Barra do Garças,city,10532,380,412,False,61012,61135,5101803,17227.44745,0.0361
2021-09-15,MT,Barra do Garças,city,10531,378,411,False,61012,61135,5101803,17225.81173,0.0359
2021-09-14,MT,Barra do Garças,city,10531,377,410,False,61012,61135,5101803,17225.81173,0.0358
2021-09-13,MT,Barra do Garças,city,10529,377,409,False,61012,61135,5101803,17222.54028,0.0358
2021-09-12,MT,Barra do Garças,city,10521,376,408,False,61012,61135,5101803,17209.45449,0.0357
2021-09-11,MT,Barra do Garças,city,10521,376,407,False,61012,61135,5101803,17209.45449,0.0357
2021-09-10,MT,Barra do Garças,city,10521,375,406,False,61012,61135,5101803,17209.45449,0.0356
2021-09-09,MT,Barra do Garças,city,10521,375,405,False,61012,61135,5101803,17209.45449,0.0356
2021-09-08,MT,Barra do Garças,city,10520,375,404,False,61012,61135,5101803,17207.81876,0.0356
2021-09-07,MT,Barra do Garças,city,10514,372,403,False,61012,61135,5101803,17198.00442,0.0354
2021-09-06,MT,Barra do Garças,city,10513,371,402,False,61012,61135,5101803,17196.36869,0.0353
2021-09-05,MT,Barra do Garças,city,10513,371,401,False,61012,61135,5101803,17196.36869,0.0353
2021-09-04,MT,Barra do Garças,city,10511,371,400,False,61012,61135,5101803,17193.09724,0.0353
2021-09-03,MT,Barra do Garças,city,10511,371,399,False,61012,61135,5101803,17193.09724,0.0353
2021-09-02,MT,Barra do Garças,city,10506,371,398,False,61012,61135,5101803,17184.91862,0.0353
2021-09-01,MT,Barra do Garças,city,10504,370,397,False,61012,61135,5101803,17181.64717,0.0352
2021-08-31,MT,Barra do Garças,city,10504,369,396,False,61012,61135,5101803,17181.64717,0.0351
2021-08-30,MT,Barra do Garças,city,10495,368,395,False,61012,61135,5101803,17166.92566,0.0351
2021-08-29,MT,Barra do Garças,city,10491,365,394,False,61012,61135,5101803,17160.38276,0.0348
2021-08-28,MT,Barra do Garças,city,10490,365,393,False,61012,61135,5101803,17158.74704,0.0348
2021-08-27,MT,Barra do Garças,city,10490,365,392,False,61012,61135,5101803,17158.74704,0.0348
2021-08-26,MT,Barra do Garças,city,10480,365,391,False,61012,61135,5101803,17142.38979,0.0348
